"index","time_stamp","stop","stopName","number","direction","plannedTime","vehicleId","tripId","delay","seq_num"
296,2018-06-27 07:59:39,2688,"Norymberska",52,"Czerwone Maki P+R",2018-06-27 07:57:00,"6352185295672181660","6351558574045220610",2,33
296,2018-06-27 07:59:44,577,"Słomiana",52,"Os.Piastów",2018-06-27 07:59:00,"6352185295672181640","6351558574045273860",0,9
297,2018-06-27 08:01:00,3039,"Centrum Kongresowe ICE",52,"Czerwone Maki P+R",2018-06-27 07:56:00,"6352185295672181662","6351558574045224708",5,26
299,2018-06-27 08:01:20,589,"Ruczaj",52,"Czerwone Maki P+R",2018-06-27 07:59:00,"6352185295672181660","6351558574045220610",2,34
299,2018-06-27 08:01:21,576,"Kapelanka",52,"Os.Piastów",2018-06-27 08:01:00,"6352185295672181640","6351558574045273860",0,10
299,2018-06-27 08:01:23,408,"Rondo Czyżyńskie",52,"Czerwone Maki P+R",2018-06-27 08:00:00,"6352185295672180856","6351558574045236996",1,11
300,2018-06-27 08:01:29,378,"Os.Piastów",52,"Czerwone Maki P+R",2018-06-27 08:01:00,"6352185295672181637","6351558574045245187",0,1
301,2018-06-27 08:01:29,589,"Ruczaj",52,"Os.Piastów",2018-06-27 08:01:00,"6352185295672180839","6351558574045277955",0,4
301,2018-06-27 08:01:31,358,"Starowiślna",52,"Czerwone Maki P+R",2018-06-27 08:00:00,"6352185295672181661","6351558574045228802",1,23
304,2018-06-27 08:01:54,575,"Szwedzka",52,"Czerwone Maki P+R",2018-06-27 07:57:00,"6352185295672181662","6351558574045224708",4,27
305,2018-06-27 08:02:02,408,"Rondo Czyżyńskie",52,"Os.Piastów",2018-06-27 08:02:00,"6352185295672181668","6351558574045261571",0,27
306,2018-06-27 08:02:05,357,"Poczta Główna",52,"Os.Piastów",2018-06-27 08:02:00,"6352185295672181669","6351558574045269763",0,16
307,2018-06-27 08:02:11,130,"Białucha",52,"Czerwone Maki P+R",2018-06-27 07:58:00,"6352185295672180894","6351558574045232900",4,17
309,2018-06-27 08:02:21,125,"Rondo Mogilskie",52,"Os.Piastów",2018-06-27 07:58:00,"6352185295672181647","6351558574045265668",4,19
309,2018-06-27 08:02:22,407,"Czyżyny",52,"Czerwone Maki P+R",2018-06-27 08:01:00,"6352185295672180856","6351558574045236996",1,12
310,2018-06-27 08:02:24,2690,"Kampus UJ",52,"Czerwone Maki P+R",2018-06-27 08:00:00,"6352185295672181660","6351558574045220610",2,35
313,2018-06-27 08:02:40,575,"Szwedzka",52,"Os.Piastów",2018-06-27 08:02:00,"6352185295672181640","6351558574045273860",0,11
314,2018-06-27 08:02:48,379,"Piasta Kołodzieja",52,"Czerwone Maki P+R",2018-06-27 08:02:00,"6352185295672181637","6351558574045245187",0,2
