"index","time_stamp","stop","stopName","number","direction","plannedTime","vehicleId","tripId","status","delay","seq_num"
6,2018-07-09 22:15:52,3033,"Plaza",14,"Mistrzejowice",2018-07-09 22:14:00,"6352185295672180894","6351558574044760845","STOPPING",1,22
6,2018-07-09 22:15:56,434,"Wiadukty",1,"Wzgórza K.",2018-07-09 22:14:00,NA,"6351558574044359440","PLANNED",1,NA
6,2018-07-09 22:15:56,2685,"Jarzębiny",1,"Salwator",2018-07-09 22:15:00,"6352185295672181140","6351558574044404496","PREDICTED",0,2
6,2018-07-09 22:15:56,462,"Agencja Kraków Wschód",22,"Walcownia",2018-07-09 22:11:00,"6352185295672180884","6351558574044891918","PREDICTED",4,35
7,2018-07-09 22:15:59,3038,"Czerwone Maki P+R",11,"Mały Płaszów",2018-07-09 22:15:00,"6352185295672180971","6351558574044678934","STOPPING",0,1
7,2018-07-09 22:16:01,2686,"Lipińskiego",52,"Os.Piastów",2018-07-09 22:16:00,"6352185295672181660","6351558574045043469","STOPPING",0,7
7,2018-07-09 22:16:03,960,"Park Jordana",20,"Mały Płaszów",2018-07-09 22:15:00,"6352185295672181154","6351558574044855066","PREDICTED",1,3
7,2018-07-09 22:16:04,2742,"Św.Wawrzyńca",19,"Dworzec Tow.",2018-07-09 22:16:00,"6352185295672181381","6351558574044838678","STOPPING",0,NA
7,2018-07-09 22:16:05,2741,"Św.Gertrudy",10,"Łagiewniki",2018-07-09 22:13:00,"6352185295672180868","6351558574044654355","STOPPING",3,20
7,2018-07-09 22:16:07,77,"Teatr Bagatela",14,"Mistrzejowice",2018-07-09 22:16:00,"6352185295672180864","6351558574044732175","PREDICTED",0,11
7,2018-07-09 22:16:10,682,"Prokocim Szpital",9,"Mistrzejowice",2018-07-09 22:15:00,"6352185295672180984","6351558574044609295","STOPPING",1,5
7,2018-07-09 22:16:11,3158,"Podgórze SKA",3,"Krowodrza Górka",2018-07-09 22:15:00,"6352185295672181363","6351558574044433174","STOPPING",1,12
7,2018-07-09 22:16:11,624,"Kabel",13,"Bronowice",2018-07-09 22:16:00,"6352185295672181349","6351558574044707602","PREDICTED",0,9
7,2018-07-09 22:16:14,124,"Cmentarz Rakowicki",2,"Salwator",2018-07-09 22:16:00,"6352185295672181168","6351558574044416804","STOPPING",0,1
7,2018-07-09 22:16:15,2871,"TAURON Arena Kraków Al. Pokoju",14,"Bronowice Małe",2018-07-09 22:15:00,"6352185295672180840","6351558574044744462","PREDICTED",1,16
7,2018-07-09 22:16:16,388,"Dunikowskiego",14,"Bronowice Małe",2018-07-09 22:16:00,"6352185295672181549","6351558574044748559","PREDICTED",0,5
7,2018-07-09 22:16:17,2539,"Rondo Hipokratesa",14,"Mistrzejowice",2018-07-09 22:16:00,"6352185295672181557","6351558574044756750","STOPPING",0,33
7,2018-07-09 22:16:19,435,"Darwina",1,"Salwator",2018-07-09 22:16:00,"6352185295672181140","6351558574044404496","PREDICTED",0,3
8,2018-07-09 22:16:24,589,"Ruczaj",18,"Krowodrza Górka",2018-07-09 22:16:00,"6352185295672181551","6351558574044801812","STOPPING",0,4
8,2018-07-09 22:16:25,584,"Kobierzyńska",22,"Borek Fałęcki",2018-07-09 22:11:00,"6352185295672180859","6351558574044908302","STOPPING",5,29
8,2018-07-09 22:16:27,319,"Jubilat",6,"Salwator",2018-07-09 22:14:00,"6352185295672181194","6351558574044519190","STOPPING",2,19
8,2018-07-09 22:16:29,1360,"Plac Wszystkich Świętych",13,"Bronowice",2018-07-09 22:15:00,"6352185295672181370","6351558574044699410","STOPPING",1,19
8,2018-07-09 22:16:29,1360,"Plac Wszystkich Świętych",13,"Nowy Bieżanów P+R",2018-07-09 22:15:00,"6352185295672181345","6351558574044683027","PREDICTED",1,10
8,2018-07-09 22:16:29,1360,"Plac Wszystkich Świętych",1,"Salwator",2018-07-09 22:16:00,"6352185295672181145","6351558574044392208","PREDICTED",0,27
8,2018-07-09 22:16:29,2741,"Św.Gertrudy",18,"Krowodrza Górka",2018-07-09 22:15:00,"6352185295672181552","6351558574044793620","STOPPING",1,16
8,2018-07-09 22:16:29,357,"Poczta Główna",1,"Wzgórza K.",2018-07-09 22:15:00,"6352185295672181020","6351558574044375825","STOPPING",1,NA
8,2018-07-09 22:16:29,358,"Starowiślna",24,"Bronowice Małe",2018-07-09 22:16:00,"6352185295672181059","6351558574044961554","STOPPING",0,14
8,2018-07-09 22:16:32,70,"Dworzec Towarowy",50,"Krowodrza Górka",2018-07-09 22:15:00,"6352185295672181646","6351558574045023003","STOPPING",1,15
8,2018-07-09 22:16:36,621,"Cmentarz Podgórski",3,"Nowy Bieżanów P+R",2018-07-09 22:15:00,"6352185295672181344","6351558574044453653","STOPPING",1,14
8,2018-07-09 22:16:37,569,"Limanowskiego",11,"Czerwone Maki P+R",2018-07-09 22:16:00,"6352185295672180970","6351558574044666647","STOPPING",0,8
8,2018-07-09 22:16:37,365,"Rondo Grzegórzeckie",9,"Nowy Bieżanów P+R",2018-07-09 22:15:00,NA,"6351558574044617486","PLANNED",1,21
8,2018-07-09 22:16:38,129,"Cystersów",4,"Wzgórza K.",2018-07-09 22:14:00,"6352185295672181658","6351558574044470031","STOPPING",2,NA
8,2018-07-09 22:16:39,130,"Białucha",5,"Wzgórza K.",2018-07-09 22:15:00,NA,"6351558574044502803","PLANNED",1,NA
8,2018-07-09 22:16:39,130,"Białucha",10,"Kopiec Wandy",2018-07-09 22:10:00,"6352185295672180851","6351558574044642067","STOPPING",6,14
8,2018-07-09 22:16:40,409,"Centralna",22,"Kombinat",2018-07-09 22:16:00,"6352185295672180900","6351558574044896015","STOPPING",0,NA
8,2018-07-09 22:16:42,2745,"Rondo Kocmyrzowskie im. Ks. Gorzelanego",5,"Wzgórza K.",2018-07-09 22:16:00,"6352185295672181192","6351558574044498707","STOPPING",0,NA
8,2018-07-09 22:16:43,423,"Struga",21,"Kopiec Wandy",2018-07-09 22:15:00,NA,"6351558574044879651","PLANNED",1,10
8,2018-07-09 22:16:43,423,"Struga",4,"Bronowice Małe",2018-07-09 22:16:00,"6352185295672181665","6351558574044486414","STOPPING",0,8
8,2018-07-09 22:16:44,435,"Darwina",1,"Wzgórza K.",2018-07-09 22:15:00,NA,"6351558574044359440","PLANNED",1,NA
9,2018-07-09 22:16:47,126,"Lubicz",52,"Os.Piastów",2018-07-09 22:16:00,"6352185295672181667","6351558574045035277","STOPPING",0,18
9,2018-07-09 22:16:50,577,"Słomiana",22,"Kombinat",2018-07-09 22:15:00,NA,"6351558574044900111","PLANNED",1,NA
9,2018-07-09 22:16:51,572,"Smolki",8,"Borek Fałęcki",2018-07-09 22:16:00,"6352185295672181359","6351558574044592915","STOPPING",0,19
9,2018-07-09 22:16:52,823,"Oleandry",20,"Mały Płaszów",2018-07-09 22:16:00,"6352185295672181154","6351558574044855066","STOPPING",0,4
9,2018-07-09 22:16:54,363,"Hala Targowa",19,"Borek Fałęcki",2018-07-09 22:15:00,NA,"6351558574044830486","PLANNED",1,6
9,2018-07-09 22:16:54,133,"Wesele",24,"Bronowice Małe",2018-07-09 22:16:00,"6352185295672181055","6351558574044953361","PREDICTED",0,26
9,2018-07-09 22:16:54,136,"Bronowice Wiadukt",24,"Kurdwanów P+R",2018-07-09 22:15:00,NA,"6351558574044945171","PLANNED",1,2
9,2018-07-09 22:16:55,78,"Batorego",14,"Bronowice Małe",2018-07-09 22:16:00,"6352185295672181546","6351558574044740366","STOPPING",0,29
