"index","time_stamp","stop","number","direction","plannedTime","vehicleId","tripId","status"
9,2018-07-09 22:16:58,634,"50","Prokocim",2018-07-09 22:14:00,"6352185295672181650","6351558574045002522","PREDICTED"
9,2018-07-09 22:16:58,681,"9","Nowy Bieżanów P+R",2018-07-09 22:15:00,NA,"6351558574044613390","PLANNED"
9,2018-07-09 22:16:59,623,"6","Salwator",2018-07-09 22:13:00,"6352185295672181043","6351558574044527382","PREDICTED"
9,2018-07-09 22:16:59,561,"20","Cichy Kącik",2018-07-09 22:16:00,"6352185295672181137","6351558574044871448","STOPPING"
9,2018-07-09 22:17:02,125,"5","Krowodrza Górka",2018-07-09 22:17:00,"6352185295672181159","6351558574044510994","STOPPING"
9,2018-07-09 22:17:04,930,"1","Salwator",2018-07-09 22:16:00,"6352185295672181165","6351558574044400401","STOPPING"
9,2018-07-09 22:17:04,2871,"14","Mistrzejowice",2018-07-09 22:15:00,"6352185295672180894","6351558574044760845","PREDICTED"
9,2018-07-09 22:17:04,3041,"1","Wzgórza K.",2018-07-09 22:14:00,"6352185295672181166","6351558574044367631","STOPPING"
10,2018-07-09 22:17:12,824,"19","Borek Fałęcki",2018-07-09 22:17:00,"6352185295672181176","6351558574044826390","STOPPING"
10,2018-07-09 22:17:12,84,"8","Borek Fałęcki",2018-07-09 22:16:00,"6352185295672181351","6351558574044601105","PREDICTED"
10,2018-07-09 22:17:13,571,"6","Kurdwanów P+R",2018-07-09 22:16:00,"6352185295672181195","6351558574044543766","STOPPING"
10,2018-07-09 22:17:15,313,"6","Salwator",2018-07-09 22:15:00,"6352185295672181194","6351558574044519190","PREDICTED"
10,2018-07-09 22:17:17,357,"24","Bronowice Małe",2018-07-09 22:17:00,"6352185295672181059","6351558574044961554","STOPPING"
10,2018-07-09 22:17:18,1049,"4","Bronowice Małe",2018-07-09 22:15:00,"6352185295672181668","6351558574044478222","STOPPING"
10,2018-07-09 22:17:18,88,"4","Wzgórza K.",2018-07-09 22:16:00,"6352185295672181655","6351558574044474127","STOPPING"
10,2018-07-09 22:17:20,716,"24","Kurdwanów P+R",2018-07-09 22:16:00,"6352185295672181042","6351558574044928786","STOPPING"
10,2018-07-09 22:17:23,569,"11","Mały Płaszów",2018-07-09 22:16:00,"6352185295672180940","6351558574044674838","STOPPING"
10,2018-07-09 22:17:24,567,"20","Mały Płaszów",2018-07-09 22:17:00,"6352185295672181161","6351558574044846873","PREDICTED"
10,2018-07-09 22:17:25,3033,"14","Bronowice Małe",2018-07-09 22:16:00,"6352185295672180840","6351558574044744462","STOPPING"
10,2018-07-09 22:17:29,420,"5","Wzgórza K.",2018-07-09 22:17:00,"6352185295672181192","6351558574044498707","STOPPING"
11,2018-07-09 22:17:32,126,"52","Czerwone Maki P+R",2018-07-09 22:16:00,"6352185295672180865","6351558574045063950","STOPPING"
11,2018-07-09 22:17:32,2691,"11","Mały Płaszów",2018-07-09 22:16:00,"6352185295672180971","6351558574044678934","STOPPING"
11,2018-07-09 22:17:34,2686,"52","Czerwone Maki P+R",2018-07-09 22:16:00,"6352185295672181640","6351558574045059853","STOPPING"
11,2018-07-09 22:17:36,584,"52","Os.Piastów",2018-07-09 22:17:00,"6352185295672181660","6351558574045043469","STOPPING"
11,2018-07-09 22:17:38,325,"10","Łagiewniki",2018-07-09 22:15:00,"6352185295672180868","6351558574044654355","STOPPING"
11,2018-07-09 22:17:39,357,"24","Kurdwanów P+R",2018-07-09 22:16:00,NA,"6351558574044936979","PLANNED"
11,2018-07-09 22:17:39,363,"22","Borek Fałęcki",2018-07-09 22:17:00,"6352185295672180856","6351558574044912398","STOPPING"
11,2018-07-09 22:17:40,61,"3","Krowodrza Górka",2018-07-09 22:16:00,NA,"6351558574044424982","PLANNED"
11,2018-07-09 22:17:43,2582,"9","Nowy Bieżanów P+R",2018-07-09 22:16:00,NA,"6351558574044613390","PLANNED"
11,2018-07-09 22:17:44,2870,"50","Krowodrza Górka",2018-07-09 22:17:00,"6352185295672181642","6351558574044998428","PREDICTED"
